"A._CID","B._Lib_Con","C._MID","F1.1","F1.2","F1.3","G1.1","G1.2","G1.3","G1.4","H1.1","H1.2","I1.1","I1.2","F1.4"
1,0,"LIB149",0,1,0,0,0,0,0,0,0,0,2,1
1,0,"LIB150",0,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB134",0,1,0,0,0,1,0,0,0,3,0,1
3,0,"LIB135",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB136",0,1,0,0,0,0,0,0,0,2,2,1
3,0,"LIB137",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB138",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB139",0,0,1,0,0,0,0,0,0,2,0,1
3,0,"LIB140",1,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB142",0,1,0,0,0,0,1,0,0,3,0,1
3,0,"LIB143",0,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB144",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB145",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB146",0,0,1,0,0,0,0,0,0,0,1,1
3,0,"LIB147",0,1,0,0,0,0,0,0,0,1,0,1
3,0,"LIB148",1,1,0,0,0,0,0,0,0,2,2,1
3,0,"LIB149",0,1,0,0,0,0,0,0,0,0,2,1
3,0,"LIB150",0,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB153",0,1,0,0,0,0,0,0,0,4,0,1
3,0,"LIB154",0,1,0,0,0,0,1,0,0,4,0,1
3,0,"LIB156",0,1,0,0,0,0,1,0,0,3,3,1
3,0,"LIB157",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB158",0,1,0,0,0,0,1,0,0,0,0,1
3,0,"LIB160",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB161",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB162",0,0,0,0,0,0,0,0,0,0,0,1
3,0,"LIB163",0,1,0,0,0,0,1,0,0,0,0,1
3,0,"LIB164",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB165",0,1,0,0,0,0,1,0,0,0,0,1
3,0,"LIB166",0,1,0,0,0,0,1,0,0,0,0,1
3,0,"LIB167",0,0,0,0,0,0,0,0,0,0,0,1
3,0,"LIB168",0,1,0,0,0,0,1,0,0,0,0,1
3,0,"LIB169",0,0,0,0,0,0,0,0,0,2,3,1
3,0,"LIB170",0,0,0,0,0,0,0,0,0,2,2,1
3,0,"LIB171",0,1,0,0,0,0,0,0,0,2,1,1
3,0,"LIB172",0,1,0,0,0,0,0,0,0,2,1,1
3,0,"LIB173",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB174",0,1,0,0,0,1,1,0,0,0,0,1
3,0,"LIB177",0,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB179",1,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB180",1,1,0,1,0,0,0,0,0,0,0,1
3,0,"LIB182",0,1,0,0,0,0,1,0,0,4,0,1
3,0,"LIB183",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB184",0,0,1,0,0,0,0,0,0,2,1,1
3,0,"LIB186",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB187",0,0,1,0,0,0,0,0,0,2,0,1
3,0,"LIB188",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB189",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB195",0,0,0,0,1,0,0,0,0,0,0,1
3,0,"LIB196",0,0,0,0,0,0,0,0,0,0,0,1
3,0,"LIB197",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB198",1,1,0,0,0,0,0,0,0,2,3,1
3,0,"LIB199",0,0,0,0,0,0,0,0,0,4,2,1
3,0,"LIB200",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB202",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB203",0,1,0,0,0,0,0,0,0,2,3,1
3,0,"LIB204",1,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB205",0,1,0,0,1,0,0,0,0,2,0,1
3,0,"LIB206",0,1,0,0,0,1,0,0,0,0,2,1
3,0,"LIB207",0,1,0,0,0,0,0,0,0,2,1,1
3,0,"LIB208",1,1,0,0,0,1,1,0,0,0,0,1
3,0,"LIB209",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB210",0,0,0,0,0,0,0,0,0,2,0,1
1,0,"LIB153",0,1,0,0,0,0,0,0,0,4,0,1
1,0,"LIB154",0,1,0,0,0,0,1,0,0,4,3,1
1,0,"LIB156",0,1,0,0,0,0,1,1,0,1,3,1
1,0,"LIB157",0,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB158",0,1,0,0,1,0,1,0,0,0,0,1
1,0,"LIB160",0,1,0,0,1,0,0,0,0,0,0,1
1,0,"LIB161",0,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB162",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB163",0,1,0,0,0,0,1,0,0,2,1,1
1,0,"LIB164",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB165",0,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB166",0,1,0,0,0,0,0,0,0,2,3,1
1,0,"LIB167",0,0,0,0,0,0,0,0,0,2,0,1
1,0,"LIB168",0,1,0,0,1,0,1,0,0,0,0,1
1,0,"LIB169",0,0,0,0,0,0,0,0,0,2,1,1
1,0,"LIB170",0,0,0,0,0,0,0,0,0,2,2,1
1,0,"LIB171",0,1,0,0,0,0,0,0,0,2,1,1
1,0,"LIB172",0,1,0,0,0,0,0,0,0,2,1,1
1,0,"LIB173",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB174",0,1,1,0,0,0,1,0,0,2,0,1
1,0,"LIB177",0,1,1,0,0,0,0,0,0,2,0,1
1,0,"LIB179",1,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB180",1,1,0,0,0,1,0,0,0,0,0,1
1,0,"LIB182",0,1,0,0,0,0,1,0,0,4,0,1
1,0,"LIB183",0,1,0,0,0,0,0,0,0,3,3,1
1,0,"LIB184",0,0,1,0,0,0,1,0,0,2,0,1
1,0,"LIB186",0,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB187",0,0,1,0,0,0,0,0,0,2,0,1
1,0,"LIB188",0,1,0,0,0,0,0,0,0,2,3,1
1,0,"LIB189",0,1,0,0,0,1,0,0,0,0,2,1
1,0,"LIB195",0,1,0,0,1,0,0,0,0,3,3,1
1,0,"LIB196",0,0,1,0,0,0,0,0,0,0,3,1
1,0,"LIB197",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB198",1,1,0,0,0,0,0,0,0,2,1,1
1,0,"LIB199",0,0,0,0,0,0,0,0,0,4,2,1
1,0,"LIB200",0,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB202",0,1,0,0,0,0,0,1,0,2,1,1
1,0,"LIB203",0,1,0,0,0,0,0,0,0,2,3,1
1,0,"LIB204",1,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB205",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB206",0,0,1,0,0,0,0,0,0,0,0,1
1,0,"LIB207",0,1,0,0,0,0,0,0,0,2,2,1
1,0,"LIB208",0,1,0,0,0,0,1,0,0,0,0,1
1,0,"LIB209",0,1,0,0,0,0,0,0,0,2,3,1
1,0,"LIB210",0,0,0,0,0,0,0,0,0,2,0,1
2,0,"LIB092",0,1,0,0,0,1,0,0,0,0,0,1
2,0,"LIB093",0,1,0,0,0,1,0,0,0,0,4,1
2,0,"LIB094",1,1,0,0,0,0,0,1,0,2,0,1
2,0,"LIB095",0,1,0,0,0,0,0,0,0,3,0,1
2,0,"LIB096",0,0,0,0,0,0,0,0,0,2,0,1
